timestamp,open,high,low,close,action
1422370800000,"286500","278000","289500","275500",0
1422457200000,"276500","246000","279000","240000",0
1422543600000,"247500","253000","266000","247500",0
1422630000000,"252000","251500","261000","249000",0
1422716400000,"251500","231000","253000","231000",0
1422802800000,"231500","250500","256500","231500",0
1422889200000,"249000","265000","269000","245000",0
1422975600000,"264500","247500","264500","242000",0
1423062000000,"247000","248500","252000","242000",0
1423148400000,"248500","245000","248500","237000",0
1423234800000,"244000","245000","251000","243000",1
1423321200000,"245500","245500","249000","244000",0
1423407600000,"246500","242500","247000","240000",0
1423494000000,"242000","237000","243500","234000",0
1423580400000,"237000","244000","249000","235000",0
1423666800000,"244000","243500","246000","238500",0
1423753200000,"242500","255000","258000","242000",0
1423839600000,"254500","267500","274500","253500",0
1423926000000,"267000","266000","291500","263000",0
1424012400000,"265000","260000","268000","247000",2
1424098800000,"260000","262500","265500","257500",0
1424185200000,"263000","263000","269500","263000",0
1424271600000,"264000","263500","266000","258000",0
1424358000000,"263500","271500","274500","263500",0
1424444400000,"272000","273000","275500","270000",0
1424530800000,"273000","264500","274000","262500",0
1424617200000,"264000","265000","268500","261500",0
1424703600000,"265000","266000","269000","263000",0
1424790000000,"266000","264500","268000","262500",0
1424876400000,"264000","261500","265500","260000",0
1424962800000,"262000","275500","279000","261500",0
1425049200000,"275000","274500","281000","273000",0
1425135600000,"275000","274000","278000","272000",0
1425222000000,"273000","286000","289000","272500",0
1425308400000,"286000","297000","312000","285500",0
1425394800000,"296500","307500","312500","294000",0
1425481200000,"308000","298000","309500","295000",0
1425567600000,"297000","299000","304500","290500",0
1425654000000,"299000","298500","301500","297000",0
1425740400000,"298500","299000","302500","298000",0
1425826800000,"299000","308000","311000","298000",0
1425913200000,"308000","328500","330500","307000",0
1425999600000,"327000","326500","334000","322500",0
1426086000000,"327000","327000","331000","324000",0
1426172400000,"326500","323500","329000","322500",0
1426258800000,"325000","315000","325500","312000",0
1426345200000,"314500","319500","319500","312000",0
1426431600000,"319500","326500","326500","317000",0
1426518000000,"326000","320000","326500","319500",0
1426604400000,"320500","305000","321500","298000",0
1426690800000,"306000","289000","307000","277500",0
1426777200000,"289000","288500","294000","282000",0
1426863600000,"289500","288000","291000","284500",1
1426950000000,"288000","288500","289000","286000",0
1427036400000,"287000","294000","295500","287000",0
1427122800000,"294000","273000","294500","267000",0
1427209200000,"273000","271000","275000","259500",0
1427295600000,"271000","277000","279000","269500",0
1427382000000,"277000","273000","279500","270500",0
1427468400000,"273000","274500","277500","271000",0
1427554800000,"275000","268500","276500","264000",0
1427641200000,"268500","270500","273000","263000",0
1427727600000,"270000","270500","274000","266500",0
1427814000000,"270000","268000","272000","265500",0
1427900400000,"268000","271000","272500","268000",0
1427986800000,"271000","276500","278000","270000",0
1428073200000,"276500","274500","277500","273000",0
1428159600000,"275500","278500","279000","273500",0
1428246000000,"278500","279000","285000","278000",0
1428332400000,"280000","278500","280500","276000",0
1428418800000,"278500","269500","280000","267500",2
1428505200000,"269000","267000","271000","260000",0
1428591600000,"266500","259500","268500","258500",0
1428678000000,"259000","257500","263500","255000",0
1428764400000,"258000","259500","261000","256000",0
1428850800000,"259000","257500","260500","256500",1
1428937200000,"258000","238500","258500","238500",0
1429023600000,"239500","242500","244000","236000",0
1429110000000,"241500","246000","248000","239500",0
1429196400000,"246500","243500","251500","241500",0
1429282800000,"243500","242500","246000","241000",0
1429369200000,"242500","245500","246500","241500",0
1429455600000,"245500","243000","246000","242500",0
1429542000000,"243500","243000","245000","242500",0
1429628400000,"244000","256000","256000","242500",0
1429714800000,"255500","255000","257500","251500",0
1429801200000,"255000","252000","255500","249500",2
1429887600000,"251500","248000","252000","246500",0
1429974000000,"247000","237000","248500","235000",0
1430060400000,"236000","241500","241500","235000",0
1430146800000,"241500","243000","248500","239500",0
1430233200000,"243000","242500","244000","240500",0
1430319600000,"242500","251500","252500","241000",0
1430406000000,"251500","253000","259000","249000",0
1430492400000,"251000","252000","257000","244000",0
1430578800000,"252000","260000","261000","251000",0
1430665200000,"259500","259000","262000","257000",0
1430751600000,"259000","255000","260000","253000",0
1430838000000,"254000","254500","257000","253500",0
1430924400000,"254000","253500","256500","248000",0
1431010800000,"253500","258000","259500","251000",0
1431097200000,"257500","261500","268000","257500",0
1431183600000,"261500","264000","265000","260000",0
1431270000000,"263000","263500","264500","261000",0
1431356400000,"264000","265500","266000","262500",0
1431442800000,"265000","265500","267000","264000",0
1431529200000,"265500","258500","266500","256500",0
1431615600000,"259500","259500","262000","257000",0
1431702000000,"260000","259500","260000","256500",0
1431788400000,"259500","258000","259500","256000",0
1431874800000,"258000","259500","260000","257000",0
1431961200000,"259500","256000","260000","255000",0
1432047600000,"256000","257500","257500","255000",0
1432134000000,"257500","258500","258500","255500",0
1432220400000,"258000","259000","260000","256500",1
1432306800000,"258500","263500","266000","258500",0
1432393200000,"263500","264500","265000","261000",0
1432479600000,"264000","261500","267000","260500",0
1432566000000,"261500","262000","264000","260500",0
1432652400000,"263500","263500","265000","262000",2
1432738800000,"263000","264000","264500","262000",0
1432825200000,"264000","263000","264500","261500",0
1432911600000,"263000","259500","263000","257500",0
1432998000000,"260500","258500","261000","256500",0
1433084400000,"258000","254500","258500","253500",0
1433170800000,"254500","252000","254500","246000",0
1433257200000,"251500","252500","253000","249000",1
1433343600000,"251000","251000","252000","250000",0
1433430000000,"251000","250000","251500","248500",0
1433516400000,"251000","250500","252000","250000",0
1433602800000,"251500","248000","252000","248000",0
1433689200000,"248000","253500","254500","247500",0
1433775600000,"253500","255500","257000","252500",0
1433862000000,"256500","253500","256500","253000",0
1433948400000,"254000","255500","255500","253000",0
1434034800000,"255500","257000","257500","254000",2
1434121200000,"256500","256500","257500","255500",0
1434207600000,"257000","260000","261500","256500",0
1434294000000,"260500","261500","263000","258500",0
1434380400000,"262000","269000","269500","261500",0
1434466800000,"269500","283500","289000","269500",0
1434553200000,"284000","279500","284500","271500",0
1434639600000,"279500","277000","283500","274500",0
1434726000000,"277000","277000","278000","270000",0
1434812400000,"277000","274500","278500","274500",0
1434898800000,"275500","276500","277500","273000",0
1434985200000,"277000","277000","279500","273000",0
1435071600000,"277000","276000","277500","274500",0
1435158000000,"275000","274000","275500","272500",0
1435244400000,"274000","274000","275000","273000",0
1435330800000,"274000","278500","279500","273000",0
1435417200000,"279000","285500","287000","278500",0
1435503600000,"285500","285500","288500","281000",0
1435590000000,"285500","298000","300500","285500",0
1439564400000,"311500","312500","313500","310000",0
1439650800000,"312500","307500","312500","303000",0
1439737200000,"307500","306000","308000","303000",0
1439823600000,"306500","302500","306500","301500",0
1439910000000,"302500","279000","304000","245000",0
1439996400000,"278500","280000","284500","265000",0
1440082800000,"279500","279500","282500","277500",0
1440169200000,"279500","273000","281500","273000",0
1440255600000,"273000","279000","282500","271000",0
1440342000000,"279500","271500","280500","267500",0
1440428400000,"271500","258500","271500","245000",0
1440514800000,"257000","270500","274000","257000",1
1440601200000,"271000","267000","272500","265500",0
1440687600000,"267000","267000","269000","262000",0
1440774000000,"267500","269500","274500","267000",0
1440860400000,"270000","270000","273000","267500",0
1440946800000,"270000","271000","272500","267000",0
1441033200000,"271500","270000","272000","268000",0
1441119600000,"269500","270000","270500","268500",0
1441206000000,"269500","270500","272000","268500",0
1441292400000,"270500","273500","275500","269000",2
1441378800000,"273500","278000","280000","273000",0
1441465200000,"278000","288500","291000","277500",0
1441551600000,"288000","288500","290000","286000",0
1441638000000,"287500","291000","295000","287500",0
1441724400000,"290500","286500","292000","285500",0
1441810800000,"286500","287000","287500","281000",0
1441897200000,"286500","289000","291000","286000",0
1441983600000,"288500","287000","290000","287000",0
1442070000000,"287500","283500","288000","280500",0
1442156400000,"283500","278500","284000","274000",0
1442242800000,"278000","277000","280000","276000",0
1442329200000,"276500","274500","277000","272500",0
1442415600000,"273500","276000","276000","272500",1
1442502000000,"275500","277000","279500","275000",0
1442588400000,"277500","277000","278500","276500",0
1442674800000,"276500","277000","277500","275500",0
1442761200000,"276500","274000","277500","272500",0
1442847600000,"274000","277000","280000","271500",0
1442934000000,"276500","278500","279000","276000",0
1443020400000,"277500","281000","281000","277000",0
1443106800000,"280500","286500","287000","280500",0
1443193200000,"286000","284500","286500","282500",2
1443279600000,"284500","283000","284500","282500",0
1443366000000,"283000","290500","292000","283000",0
1443452400000,"291000","289000","293500","287500",0
1443538800000,"289000","287000","290000","286000",0
1443625200000,"286500","288000","288500","286500",0
1443711600000,"288000","290000","291500","287500",0
1443798000000,"291000","290500","291000","288000",0
1443884400000,"290500","289500","291000","289000",0
1443970800000,"289000","289000","289500","287500",0
1444057200000,"288500","296000","297500","288000",0
1444143600000,"296500","295500","300000","294500",0
1444230000000,"296000","291500","296000","291500",0
1444316400000,"292000","291500","293500","290000",0
1444402800000,"290500","291500","293500","290500",0
1444489200000,"292500","293000","294000","292000",0
1444575600000,"292500","293500","296500","292500",0
1444662000000,"292500","296500","299000","290500",0
1444748400000,"297000","296500","297500","295000",0
1444834800000,"296500","298000","299500","296000",0
1444921200000,"298000","311500","311500","297500",0
1445007600000,"312000","327000","338500","312000",0
1445094000000,"327000","316000","328500","316000",0
1445180400000,"316000","314000","318000","306000",0
1445266800000,"314000","316000","316500","312500",0
1445353200000,"316000","313000","318000","311000",0
1445439600000,"313000","319500","322000","312000",0
1445526000000,"319000","321500","326500","318500",0
1445612400000,"321500","326000","327000","320000",0
1445698800000,"325500","346500","346500","324500",0
1445785200000,"346500","334000","347000","333000",0
1445871600000,"334500","344500","347000","333500",0
1445958000000,"344500","361500","365000","342000",0
1446044400000,"361000","373500","374000","352000",0
1446130800000,"374000","388500","439000","365500",0
1446217200000,"390000","391500","407000","385500",0
1446303600000,"394000","385000","394000","370500",0
1446390000000,"385000","402000","404000","381000",0
1446476400000,"400500","464000","468500","398500",0
1446562800000,"465000","599000","605000","461000",0
1446649200000,"599500","467000","601500","430000",0
1446735600000,"473500","448500","496000","401000",0
1446822000000,"448500","466500","480000","440000",0
1446908400000,"466500","460000","469000","456500",0
1446994800000,"460000","457500","465000","435000",0
1447081200000,"458500","421000","458500","421000",0
1447167600000,"423000","364000","432000","345000",0
1447254000000,"368000","388000","419500","355000",0
1447340400000,"387500","393500","405500","377000",0
1447426800000,"392000","388500","399500","387000",0
1447513200000,"388500","377000","396500","368500",0
1447599600000,"377500","376000","387500","373000",0
1447686000000,"377000","391000","398000","376000",0
1447772400000,"391500","393000","396000","388000",1
1447858800000,"393000","385000","396000","381500",0
1447945200000,"384500","379500","385000","370000",0
1448031600000,"379500","380000","386500","375000",0
1448118000000,"380500","379500","387000","377500",0
1448204400000,"380000","381500","383500","377500",0
1448290800000,"381500","376500","382000","373000",0
1448377200000,"376500","377000","381000","371000",0
1448463600000,"378500","404500","429500","376500",0
1448550000000,"404500","415500","426000","390000",0
1448636400000,"415000","417500","423500","412000",0
1448722800000,"417000","424500","429500","416000",2
1448809200000,"424500","445000","454000","424500",0
1448895600000,"445500","429500","451500","421000",0
1448982000000,"428000","427000","431000","412000",0
1449068400000,"427000","430000","445000","424000",0
1449154800000,"431000","430000","436000","420000",0
1449241200000,"432000","442000","448000","428000",0
1449327600000,"442000","457000","470000","441000",0
1449414000000,"457000","471000","478000","454000",0
1449500400000,"472000","475000","478000","466000",0
1449586800000,"476000","509000","520000","473000",0
1449673200000,"509000","506000","517000","492000",0
1449759600000,"506000","520000","525000","499000",0
1449846000000,"520000","514000","575000","488000",0
1449932400000,"513000","536000","538000","511000",0
1450018800000,"536000","539000","541000","522000",0
1450105200000,"539000","554000","555000","536000",0
1450191600000,"554000","550000","568000","536000",0
1450278000000,"550000","551000","555000","545000",0
1450364400000,"551000","555000","563000","550000",0
1450450800000,"556000","561000","564000","553000",0
1450537200000,"560000","556000","563000","553000",0
1450623600000,"556000","534000","558000","523000",0
1450710000000,"534000","531000","540000","530000",0
1450796400000,"531000","535000","536000","529000",0
1450882800000,"534000","543000","551000","532000",0
1450969200000,"546000","546000","550000","540000",0
1451055600000,"545000","503000","550000","480000",0
1451142000000,"503000","502000","512000","485000",1
1451228400000,"502000","507000","524000","501000",0
1451314800000,"505000","503000","508000","496000",0
1451401200000,"503000","504000","516000","501000",0
1451487600000,"504000","506000","510000","491000",0
1451574000000,"506000","515000","521000","502000",0
1451660400000,"515000","519000","522000","514000",0
1451746800000,"518000","514000","520000","512000",0
1451833200000,"514000","521000","522000","509000",0
1451919600000,"520000","518000","527000","516000",2
1452006000000,"519000","517000","521000","512000",0
1452092400000,"517000","542000","549000","515000",0
1452178800000,"542000","546000","558000","538000",0
1452265200000,"547000","541000","548000","538000",0
1452351600000,"541000","533000","543000","530000",0
1452438000000,"532000","540000","549000","531000",0
1452524400000,"539000","539000","543000","537000",0
1452610800000,"539000","516000","541000","500000",0
